url,title,company,location,description
https://ph.linkedin.com/jobs/view/reporting-analytics-shopee-supermarket-scommerce-at-shopee-4316942086?position=21&pageNum=0&refId=AljvfdhwfYoofDre4kjixg%3D%3D&trackingId=qiewoFGVDRNHAjJtdzkNQw%3D%3D,"Reporting & Analytics - Shopee Supermarket, Scommerce",Shopee,Manila,"About The Team

Shopee Supermarket is Shopee’s in-house retail channel offering a wide selection of grocery and household essentials from top FMCG suppliers. As a trusted one-stop shop for everyday needs, we ensure competitive pricing, reliable fulfillment, and curated deals to provide users with a seamless and value-driven online grocery experience. Join our team and contribute to impactful initiatives across strategy, analytics, marketing, and operations.



The Reporting & Analytics PIC will be critical in enabling data-driven decisions by managing performance dashboards, consolidating data sources, and ensuring accurate business monitoring. The role includes pulling data and making queries through SQL to support deeper analysis and actionable insights. Hiring this role ensures the team has clear visibility of results and the analytical foundation needed to drive sustainable growth for Shopee Supermarket’s retail business."
https://ph.linkedin.com/jobs/view/data-analyst-at-manpower-philippines-4316445450?position=22&pageNum=0&refId=AljvfdhwfYoofDre4kjixg%3D%3D&trackingId=TW7D7U%2BvTqvGaCk4YJbPJQ%3D%3D,Data Analyst,Manpower (Philippines),Parañaque,"Essential Duties and Responsibilities:

Perform data collection (via data loads), including mapping, quality checks and business rules validation for reporting."
https://ph.linkedin.com/jobs/view/junior-data-analyst-at-media-meter-inc-4244079282?position=23&pageNum=0&refId=AljvfdhwfYoofDre4kjixg%3D%3D&trackingId=bf6PAhQa0o%2Fcvzg8oxHs%2BA%3D%3D,Junior Data Analyst,Media Meter Inc.,Quezon City,"As a Junior Data Analyst, you will play a crucial role in the data preprocessing phase of our project to fine-tune the Whisper model for Taglish and other languages. Your responsibilities will include collecting, organizing, cleaning, and preparing high-quality multilingual data for model training. You will work closely with the machine learning team to ensure that the data meets the necessary standards for effective model training.

































Minimum Qualifications:"
https://ph.linkedin.com/jobs/view/data-analyst-at-payreto-4057605240?position=24&pageNum=0&refId=AljvfdhwfYoofDre4kjixg%3D%3D&trackingId=GHAB9giNc5%2Fh%2FUdTF30Slw%3D%3D,Data Analyst,Payreto,Makati,"What We Offer

Competitive Salary Packages




The ideal candidate should have a flexible and agile mindset as he will be confronted with a lot of topics within Payreto. He / She needs to have innate curiosity and display ability, and passion to learn complex ideas and various tools / systems to pull data from and create meaningful insights and reports either for Payreto or its clients.

Despite being an entry level position, the candidate will be expected to display ownership of work and build reports from scratch and analyze big data of clients. The opportunity is for candidates who would like to gain exposure and experience with creating insights or analytics for different units within Payreto and for financial services clients of Payreto outside of the Philippines."
https://ph.linkedin.com/jobs/view/data-analyst-associate-at-alveo-land-4315897216?position=25&pageNum=0&refId=AljvfdhwfYoofDre4kjixg%3D%3D&trackingId=wsSeIlwHWasKPjdfY7U1Dw%3D%3D,Data Analyst Associate,Alveo Land,Taguig,"The Data Analyst Associate requires strong analytical skills, familiarity with process documentation, and basic coding/programming literacy. Exposure to data visualization tools is desired to effectively communicate insights and recommendations."
https://ph.linkedin.com/jobs/view/data-ai-associate-at-pwc-philippines-4316915476?position=26&pageNum=0&refId=AljvfdhwfYoofDre4kjixg%3D%3D&trackingId=Y71HqcZ%2FkavVBx85AbuI5Q%3D%3D,Data & AI Associate,PwC Philippines,Makati,"Job overview
We are looking for an entry-level Data & AI Associate to join our dynamic team. In this role, you will support the design and implementation of data and artificial intelligence initiatives across cloud platforms. You will help turn data into actionable insights, contribute to AI-driven innovation, and strengthen business operations through analytics and automation. This role offers an excellent foundation for growing into a future data and AI leader by gaining hands-on experience with business-focused AI strategies."
https://ph.linkedin.com/jobs/view/finance-data-analyst-ecl-at-maya-4303369741?position=27&pageNum=0&refId=AljvfdhwfYoofDre4kjixg%3D%3D&trackingId=UCk%2FWW6O8gudhpK5GktyOA%3D%3D,Finance Data Analyst (ECL),Maya,"National Capital Region, Philippines",
https://ph.linkedin.com/jobs/view/data-analyst-freelance-remote-at-magic-4251456808?position=28&pageNum=0&refId=AljvfdhwfYoofDre4kjixg%3D%3D&trackingId=ayev%2BfFG5hkdAG5XROoLEg%3D%3D,"Data Analyst - Freelance, Remote",Magic,Taguig,"Department: Support & Leadership
Location: Philippines
Compensation: $5.00 - $8.00 / hour




We're building an inclusive pool of Data Analysts across all experience levels and specializations to match with exciting client projects. Whether you're just starting your data analysis journey or you're a seasoned expert, we welcome your application. This is not a traditional job posting - instead, we're creating a talent pipeline to connect analysts with opportunities that match their expertise level and interests."
https://ph.linkedin.com/jobs/view/business-intelligence-analyst-at-unionbank-of-the-philippines-4307348221?position=29&pageNum=0&refId=AljvfdhwfYoofDre4kjixg%3D%3D&trackingId=501pA2J7QUiICn67omWPpA%3D%3D,Business Intelligence Analyst,UnionBank of the Philippines,Pasig,"Job Description: Develops business intelligence dashboards, reports, MIS and provide data-driven insights to enable various groups in the bank to monitor their key metrics against goals, understand customer behavior, comply with regulatory and industry reporting requirements and make vital business decisions."
https://ph.linkedin.com/jobs/view/data-analyst-remote-at-sonic-electronix-4207138260?position=30&pageNum=0&refId=AljvfdhwfYoofDre4kjixg%3D%3D&trackingId=6h9sAFb9g4iNwfbfe88xfQ%3D%3D,Data Analyst (Remote),Sonic Electronix,Metro Manila,"We are looking for a Data Analyst who will be responsible for developing, implementing, and optimizing programmatic advertising campaigns across multiple platforms.













$5–$7 per hour



You’ll get sweet discounts on all the audio and electronics your ears and wallet can handle, but the fun doesn’t stop there. A list of our perks include:






We use the gear we sell and love spreading audio bliss! We’re excited about our next chapter where we’re looking to revolutionize online shopping for audio in the car and on the go. We’re welcoming and excited to add super talented people to join this mission.

We’re a fun, energetic, successful dot-com with a great work environment and passion for audio. We have a casual dress code, plenty of products to geek out with, and growth in our future to get excited about."
