url,title,company,location,description
https://ph.linkedin.com/jobs/view/reporting-analyst-at-korn-ferry-4314242815?position=41&pageNum=0&refId=DByqSpQS8kMunB8rkS1w0w%3D%3D&trackingId=%2BaC3%2Bs0fSSwtAqmQHJ4lkQ%3D%3D,Reporting Analyst,Korn Ferry,Taguig,"The Associate, Reporting role will employ data science methods to produce information, metrics and recruitment performance insights that demonstrate the value of a Korn Ferry engagement to advance a client’s strategic and tactical Talent Acquisition goals."
https://ph.linkedin.com/jobs/view/analyst-data-at-royal-caribbean-group-4308027154?position=42&pageNum=0&refId=DByqSpQS8kMunB8rkS1w0w%3D%3D&trackingId=GqEg0dpQiT3iLbPjMFH2KQ%3D%3D,"Analyst, Data",Royal Caribbean Group,Pasay,"Journey with us! Combine your career goals and sense of adventure by joining our incredible team of employees at Royal Caribbean Group. We are proud to offer a competitive compensation and benefits package, and excellent career development opportunities, each offering unique ways to explore the world.

We are proud to be the vacation-industry leader with global brands — including Royal Caribbean International, Celebrity Cruises and Silversea Cruises — the most innovative fleet and private destinations, and the best people. Together, we are dedicated to turning the vacation of a lifetime into a lifetime of vacations for our guests.

Royal Caribbean Group’s Contact Center Analytics and Solutions Team has an exciting career opportunity for a full time Data Analyst reporting to the Sr. Manager, Contact Center Analytics Solutions.



The Contact Center Analytics & Solutions team is seeking a Data Analyst who will be responsible for delivering impactful insights into key business decisions and supporting projects/building tools that empower our end users to work efficiently. The right person for this role has exceptional analytical capabilities, thrives in a fast-paced environment, loves problem-solving, is a great communicator, and is passionate about our end user experience.













As you go through the application process, our recruiters will be glad to provide guidance, and more relevant details to answer any additional questions. Thank you again for your interest in Royal Caribbean Group. We'll hope to see you onboard soon!

It is the policy of the Company to ensure equal employment and promotion opportunity to qualified candidates without discrimination or harassment on the basis of race, color, religion, sex, age, national origin, disability, sexual orientation, sexuality, gender identity or expression, marital status, or any other characteristic protected by law. Royal Caribbean Group and each of its subsidiaries prohibit and will not tolerate discrimination or harassment."
https://ph.linkedin.com/jobs/view/reference-data-services-junior-analyst-at-citi-4105477857?position=43&pageNum=0&refId=DByqSpQS8kMunB8rkS1w0w%3D%3D&trackingId=BJJ0%2FzEtmG5YjU0xRcVg2w%3D%3D,Reference Data Services Junior Analyst,Citi,Taguig,"Whether you’re at the start of your career or looking to discover your next adventure, your story begins here. At Citi, you’ll have the opportunity to expand your skills and make a difference at one of the world’s most global banks. We’re fully committed to supporting your growth and development from the start with extensive on-the-job training and exposure to senior leaders, as well as more traditional learning. You’ll also have the chance to give back and make a positive impact where we live and work through volunteerism.



Citi’s enables Citi to achieve its day-to-day operational and long-term growth goals, enabling execution of Citi’s strategy by providing services, technical solutions and infrastructure across the bank.

We’re currently looking for a high caliber professional to join our team as (Internal Job Title: – ) based in BGC Taguig, Philippines. Being part of our team means that we’ll provide you with the resources to meet your unique needs, empower you to make healthy decision and manage your financial well-being to help plan for your future. For instance:



The Reference Data Services Analyst 1 is a trainee professional role. Requires a good knowledge of the range of processes, procedures and systems to be used in carrying out assigned tasks and a basic understanding of the underlying concepts and principles upon which the job is based. Good understanding of how the team interacts with others in accomplishing the objectives of the area. Makes evaluative judgements based on the analysis of factual information. They are expected to resolve problems by identifying and selecting solutions through the application of acquired technical experience and will be guided by precedents. Must be able to exchange information in a concise and logical way as well as be sensitive to audience diversity. Limited but direct impact on the business through the quality of the tasks/services provided. Impact of the job holder is restricted to own job.









Working at Citi is far more than just a job. A career with us means joining a family of more than 230,000 dedicated people from around the globe. At Citi, you’ll have the opportunity to grow your career, give back to your community and make a real impact.





This job description provides a high-level review of the types of work performed. Other job-related duties may be assigned as required.



------------------------------------------------------



Operations - Services

------------------------------------------------------



Reference Data Services

------------------------------------------------------



------------------------------------------------------



Please see the requirements listed above.

------------------------------------------------------



For complementary skills, please see above and/or contact the recruiter.

------------------------------------------------------"
https://ph.linkedin.com/jobs/view/data-analyst-at-pluxee-4299241976?position=44&pageNum=0&refId=DByqSpQS8kMunB8rkS1w0w%3D%3D&trackingId=YDEZcBTzhVaLjmD4yfjwvA%3D%3D,Data Analyst,Pluxee,Manila,
https://ph.linkedin.com/jobs/view/business-intelligence-strategy-and-projects-at-shopee-4055959755?position=45&pageNum=0&refId=DByqSpQS8kMunB8rkS1w0w%3D%3D&trackingId=hlbFirHCgev7vcoN4OBlbQ%3D%3D,Business Intelligence - Strategy and Projects,Shopee,Manila,"Job Description

Contribute to Shopee’s growth objectives by improving users experience, optimizing spending/P&L and deriving required resources to achieve them;"
https://ph.linkedin.com/jobs/view/data-analytics-specialist-at-unilab-inc-4142989762?position=46&pageNum=0&refId=DByqSpQS8kMunB8rkS1w0w%3D%3D&trackingId=%2F%2BC%2Fw7G%2FLpHgA33TRjJokA%3D%3D,DATA ANALYTICS SPECIALIST,"Unilab, Inc.",Mandaluyong,
https://ph.linkedin.com/jobs/view/consumer-banking-group-mis-officer-at-bdo-unibank-4315088400?position=47&pageNum=0&refId=DByqSpQS8kMunB8rkS1w0w%3D%3D&trackingId=EIE12Bj49ZptR78GSp0F%2Fw%3D%3D,Consumer Banking Group - MIS Officer,BDO Unibank,"National Capital Region, Philippines",
https://ph.linkedin.com/jobs/view/data-analyst-at-maxicare-healthcare-corporation-4206500491?position=48&pageNum=0&refId=DByqSpQS8kMunB8rkS1w0w%3D%3D&trackingId=SQsv3IuX4GpOfF31EfKtiw%3D%3D,Data Analyst,Maxicare Healthcare Corporation,Makati,"Responsibilities

This position ensures that targets on cost, patient experience and patient outcomes for an assigned Business (i.e.In-patient, Outpatient, ER, Medical, Sales, Marketing and Operations, etc) are achieved. He/ She is responsible for monitoring actual performance against target by performing data analytics on lead, real time and lag performance indicators, variance analysis, and recommending or implementing interventions to deliver expected results.

The Successful Candidate Will Report To One Of The Utilization Management Leads Supporting Assigned Business Line And Will Work To Achieve The Following"
https://ph.linkedin.com/jobs/view/data-analyst-mid-at-angkas-4314621417?position=49&pageNum=0&refId=DByqSpQS8kMunB8rkS1w0w%3D%3D&trackingId=ayipZRe6RybX6X1fhaiTjQ%3D%3D,Data Analyst (Mid),Angkas,Makati,"About Us

We are a fast-growing ride-hailing company transforming urban transportation. Our mission is to make mobility safer, smarter, and more accessible through data-driven decisions. As we continue to scale, we're looking for a passionate and experienced Data Scientist to join our team and play a pivotal role in driving insights, innovation, and impact across the organization.



We are seeking a Mid Level Data Analyst who thrives on solving complex business challenges using data. In this role, you will collaborate cross-functionally with product, engineering, operations, and marketing teams to deliver actionable insights to enhance key business areas such as pricing, supply-demand matching, customer retention, and many more."
https://ph.linkedin.com/jobs/view/senior-data-analyst-at-shopee-4306058577?position=50&pageNum=0&refId=DByqSpQS8kMunB8rkS1w0w%3D%3D&trackingId=acg3hWyngyhuxJG%2F8w5XfQ%3D%3D,Senior Data Analyst,Shopee,Manila,"Job Description

As an Analyst, you will play a crucial role in supporting the Mall Acquisition, Incubation, and Offsite teams by providing valuable insights and conducting in-depth analyses of relevant data and information. Your work will directly contribute to the planning, strategizing, and decision-making processes of the organization."
